"cluster" "N" "Men" "Women" "Spanish" "Dutch" "Spanish2" "Dutch2" "Isced_code0" "Isced_code1" "Isced_code2" "Isced_code3" "Isced_code4" "Isced_code5" "Isced_code6" "Still_school" "Other" "avg_years_olf" "avg_years_pt" "avg_years_ft" "avg_years_snc" "avg_years_s1c" "avg_years_s2c" "avg_years_mnc" "avg_years_m1c" "avg_years_m2c" "avg_years_wnc" "avg_years_w1c" "avg_years_w2c" "avg_years_dnc" "avg_years_d1c" "avg_years_d2c"
"1" 1 393 0.452926208651399 0.5470737913486 0.455470737913486 0.544529262086514 179 214 0 62 83 47 0 46 0 1 1 18.3994910941476 3.98218829516539 28.618320610687 11.1959287531807 2.64376590330789 0.0127226463104326 3.87277353689567 28.2595419847328 0.0127226463104326 0.0661577608142494 1.1501272264631 0 1.5470737913486 2.23918575063613 0
"2" 2 1447 0.794056668970283 0.205943331029717 0.544574982722875 0.455425017277125 788 659 0 254 221 182 0 188 0 1 8 9.18175535590878 0.278507256392536 41.5397373876987 10.1361437456807 0.0677263303386317 0.0628887353144437 1.89841050449205 3.03800967519005 35.0013821700069 0.017968210089841 0.00345542501727713 0.494816862474084 0.032480995162405 0.0387007601935038 0.208016586040083
"3" 3 316 0.443037974683544 0.556962025316456 0.373417721518987 0.626582278481013 118 198 0 41 66 32 0 40 0 0 0 18.3164556962025 3.82911392405063 28.8544303797468 12.4398734177215 0.0221518987341772 0.0189873417721519 37.120253164557 0.00632911392405063 0.161392405063291 0.689873417721519 0 0 0.541139240506329 0 0
"4" 4 276 0.0797101449275362 0.920289855072464 0.11231884057971 0.88768115942029 31 245 0 18 80 39 0 43 0 0 0 15.8695652173913 25.4782608695652 9.65217391304348 8.29710144927536 0.0579710144927536 0 2.35507246376812 2.67391304347826 37.1847826086956 0 0 0.141304347826087 0.0326086956521739 0.0072463768115942 0.25
"5" 5 926 0.0367170626349892 0.963282937365011 0.546436285097192 0.453563714902808 506 420 0 193 240 85 0 36 0 0 8 42.8887688984881 2.24298056155508 5.8682505399568 8.08315334773218 0.0615550755939525 0.0593952483801296 1.79481641468683 3.07235421166307 36.5842332613391 0.00431965442764579 0.00755939524838013 1.17170626349892 0.00215982721382289 0.00431965442764579 0.154427645788337
"6" 6 214 0.588785046728972 0.411214953271028 0.565420560747664 0.434579439252336 121 93 0 38 32 26 0 25 0 1 0 15.9719626168224 2.64018691588785 32.3878504672897 50.5700934579439 0.00467289719626168 0.00467289719626168 0.373831775700935 0 0 0.0233644859813084 0 0 0.0233644859813084 0 0
"7" 7 115 0.373913043478261 0.626086956521739 0.147826086956522 0.852173913043478 17 98 0 10 28 15 0 23 0 0 0 20.9217391304348 5.4695652173913 24.6086956521739 8.08695652173913 0.0782608695652174 0.0347826086956522 2.2 2.74782608695652 13.8260869565217 0.0260869565217391 0 0.0434782608695652 0.156521739130435 0.28695652173913 23.5130434782609
"8" 8 70 0.371428571428571 0.628571428571429 0.185714285714286 0.814285714285714 13 57 0 6 20 9 0 9 0 0 0 23.4 4.12857142857143 23.4714285714286 10.5 2.74285714285714 37.3714285714286 0 0 0.385714285714286 0 0 0 0 0 0
