"","ID","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65"
"1632","ES-902104-02","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1633","ES-903356-01","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1634","ES-903356-02","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft"
"1635","ES-903856-01","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1636","ES-903856-02","olf","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1637","ES-904117-01","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","olf","olf","olf","olf"
"1638","ES-907780-01","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1639","ES-908357-01","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf","olf"
"1640","ES-908357-02","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
"1641","ES-908555-01","ft","ft","ft","ft","ft","ft","ft","olf","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","ft","olf"
